pdb_id,chain_a,chain_b,error
4DCB,A,F,'NoneType' object has no attribute 'readlines'
9V99,A,I,No interface found within 6.0 A cutoff
2W80,A,C,No interface found within 6.0 A cutoff
2W81,A,C,No interface found within 6.0 A cutoff
4AYD,A,C,No interface found within 6.0 A cutoff
5ELQ,A,C,No interface found within 6.0 A cutoff
1MNM,A,C,No interface found within 6.0 A cutoff
2PC4,A,H,No interface found within 6.0 A cutoff
1OXQ,A,F,No interface found within 6.0 A cutoff
5TZQ,A,C,No interface found within 6.0 A cutoff
1OXN,A,F,No interface found within 6.0 A cutoff
7ADT,A,C,No interface found within 6.0 A cutoff
6V41,AAA,QQQ,'NoneType' object has no attribute 'readlines'
4X3S,A,C,No interface found within 6.0 A cutoff
4QUD,A,C,No interface found within 6.0 A cutoff
4EHA,A,B,No interface found within 6.0 A cutoff
9H3D,A,D,No interface found within 6.0 A cutoff
5Y9W,A,C,No interface found within 6.0 A cutoff
4QXF,A,C,No interface found within 6.0 A cutoff
8S1R,AAA,EaE,'NoneType' object has no attribute 'readlines'
2QBX,A,D,No interface found within 6.0 A cutoff
6CRN,A,E,No interface found within 6.0 A cutoff
8F16,A,C,No interface found within 6.0 A cutoff
8F15,A,D,No interface found within 6.0 A cutoff
8F17,A,C,No interface found within 6.0 A cutoff
9XMJ,A,B,'NoneType' object has no attribute 'readlines'
4LRZ,A,E,No interface found within 6.0 A cutoff
9TL4,A,B,'NoneType' object has no attribute 'readlines'
8C1L,A,D,No interface found within 6.0 A cutoff
5VAP,A,C,No interface found within 6.0 A cutoff
3G43,A,E,No interface found within 6.0 A cutoff
9NN3,A,C,No interface found within 6.0 A cutoff
6U61,A,D,No interface found within 6.0 A cutoff
6YX7,AAA,BBB,'NoneType' object has no attribute 'readlines'
5W2J,A,F,No interface found within 6.0 A cutoff
5OK6,A,C,No interface found within 6.0 A cutoff
4KSK,A,C,No interface found within 6.0 A cutoff
6CPM,C,E,No interface found within 6.0 A cutoff
9Z3V,A,C,'NoneType' object has no attribute 'readlines'
3TJW,A,B,No interface found within 6.0 A cutoff
3TRV,A,B,No interface found within 6.0 A cutoff
9Y6C,A,B,'NoneType' object has no attribute 'readlines'
6JV7,A,B,No interface found within 6.0 A cutoff
8TGE,A,G,'NoneType' object has no attribute 'readlines'
6A5Q,A,D,No interface found within 6.0 A cutoff
1QJA,A,Q,No interface found within 6.0 A cutoff
7QI1,A,E,No interface found within 6.0 A cutoff
3RQG,A,E,No interface found within 6.0 A cutoff
6A8N,A,C,No interface found within 6.0 A cutoff
2V3S,A,C,No interface found within 6.0 A cutoff
8SGF,A,Y,No interface found within 6.0 A cutoff
4APO,A,D,No interface found within 6.0 A cutoff
7R2E,A,C,No interface found within 6.0 A cutoff
1H0I,A,C,No interface found within 6.0 A cutoff
6DBG,A,C,No interface found within 6.0 A cutoff
7Q5U,AAA,GGG,'NoneType' object has no attribute 'readlines'
6NPO,A,C,No interface found within 6.0 A cutoff
4I0C,A,C,No interface found within 6.0 A cutoff
7K2I,A,P,No interface found within 6.0 A cutoff
8EHV,A,P,No interface found within 6.0 A cutoff
9QDU,A,B,'NoneType' object has no attribute 'readlines'
7K2G,A,P,No interface found within 6.0 A cutoff
7K2H,A,P,No interface found within 6.0 A cutoff
7K2Q,A,P,No interface found within 6.0 A cutoff
5AXI,A,E,No interface found within 6.0 A cutoff
3TUV,A,B,No interface found within 6.0 A cutoff
4XXW,A,C,No interface found within 6.0 A cutoff
6ZBP,EEE,FFF,'NoneType' object has no attribute 'readlines'
7LDJ,A,E,No interface found within 6.0 A cutoff
